speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,subnational2Code,subnational2Name,subnational1Code,subnational1Name,countryCode,countryName,userDisplayName,obsId,checklistId,presenceNoted,hasComments,firstName,lastName,hasRichMedia,exoticCategory
normoc,Northern Mockingbird,Mimus polyglottos,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059849,CL23822,False,False,Parsley,Steinweiss,False,
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059844,CL23822,False,False,Parsley,Steinweiss,False,
houspa,House Sparrow,Passer domesticus,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059840,CL23822,True,False,Parsley,Steinweiss,False,N
whtspa,White-throated Sparrow,Zonotrichia albicollis,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059842,CL23822,False,False,Parsley,Steinweiss,False,
normoc,Northern Mockingbird,Mimus polyglottos,L2987624,McGolrick Park,2024-01-09 09:12:00,,40.7245046,-73.9433616,True,False,False,S158506315,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1919873471,CL23822,False,False,Michael,Lombardo,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-09 08:01:00,,40.7245046,-73.9433616,True,False,False,S158500880,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1919828151,CL23822,True,False,Greg,Thornberg,False,N
rethaw,Red-tailed Hawk,Buteo jamaicensis,L2987624,McGolrick Park,2024-01-09 08:01:00,,40.7245046,-73.9433616,True,False,False,S158500880,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1919828149,CL23822,False,False,Greg,Thornberg,False,
amekes,American Kestrel,Falco sparverius,L2987624,McGolrick Park,2024-01-09 08:01:00,,40.7245046,-73.9433616,True,False,False,S158500880,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1919828152,CL23822,False,False,Greg,Thornberg,False,
whtspa,White-throated Sparrow,Zonotrichia albicollis,L2987624,McGolrick Park,2024-01-09 08:01:00,,40.7245046,-73.9433616,True,False,False,S158500880,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1919828155,CL23822,True,False,Greg,Thornberg,False,
blujay,Blue Jay,Cyanocitta cristata,L2987624,McGolrick Park,2024-01-09 07:48:00,,40.7245046,-73.9433616,True,False,False,S158500061,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1919805017,CL23822,False,False,Greg,Thornberg,False,
